idsc-10c_20190430.bam.stats	1st_fragments:	11189054
idsc-06p_20190430.bam.stats	1st_fragments:	12241790
idsc-10a_20190430.bam.stats	1st_fragments:	12768418
idsc-06b_20190430.bam.stats	1st_fragments:	14509292
idsc-10p_20190430.bam.stats	1st_fragments:	14746612
idsc-06c_20190430.bam.stats	1st_fragments:	15359302
idsc-07b_20190430.bam.stats	1st_fragments:	16125082
idsc-07p_20190430.bam.stats	1st_fragments:	16928602
idsc-07a_bd_exo_mseq_20190424.bam.stats	1st_fragments:	17282384
idsc-07p_bd_exo_mseq_20190424.bam.stats	1st_fragments:	19915752
idsc-06a_20190430.bam.stats	1st_fragments:	20907811
idsc-13a_20190430.bam.stats	1st_fragments:	8306560
idsc-07a_20190430.bam.stats	1st_fragments:	8341733
idsc-13b_20190430.bam.stats	1st_fragments:	8633482
idsc-13p_20190430.bam.stats	1st_fragments:	9288860
idsc-07a_bd_exo_mseq_20190424.bam.stats	average_first_fragment_length:	75
idsc-07p_bd_exo_mseq_20190424.bam.stats	average_first_fragment_length:	75
idsc-06a_20190430.bam.stats	average_first_fragment_length:	76
idsc-06b_20190430.bam.stats	average_first_fragment_length:	76
idsc-06c_20190430.bam.stats	average_first_fragment_length:	76
idsc-06p_20190430.bam.stats	average_first_fragment_length:	76
idsc-07a_20190430.bam.stats	average_first_fragment_length:	76
idsc-07b_20190430.bam.stats	average_first_fragment_length:	76
idsc-07p_20190430.bam.stats	average_first_fragment_length:	76
idsc-10a_20190430.bam.stats	average_first_fragment_length:	76
idsc-10c_20190430.bam.stats	average_first_fragment_length:	76
idsc-10p_20190430.bam.stats	average_first_fragment_length:	76
idsc-13a_20190430.bam.stats	average_first_fragment_length:	76
idsc-13b_20190430.bam.stats	average_first_fragment_length:	76
idsc-13p_20190430.bam.stats	average_first_fragment_length:	76
idsc-07a_bd_exo_mseq_20190424.bam.stats	average_last_fragment_length:	75
idsc-07p_bd_exo_mseq_20190424.bam.stats	average_last_fragment_length:	75
idsc-06a_20190430.bam.stats	average_last_fragment_length:	76
idsc-06b_20190430.bam.stats	average_last_fragment_length:	76
